links,Serial #,source,Type,all,annual,country/annual,1 series per country,unique countries,MOU,Country Name,Year,series (at least 3 samples since 1999),AF/AS,Title,frequency,Region,9,samples annual,by,created,Original,official language,links,questionnaire,report
http://catalog.ihsn.org/index.php/catalog/2651,5541,ihsn,,,,,,,,Armenia,2011,,,Global Financial Inclusion (Global Findex) Database 2011 ,,,,,"By: Development Research Group, Finance and Private Sector Development Unit - World Bank","Created on: Dec 20, 2012 Last modified: Sep 14, 2013 Views: 1019","Armenia, 2011",,http://catalog.ihsn.org/index.php/catalog/2651,"/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x",null
http://catalog.ihsn.org/index.php/catalog/4303,5548,ihsn,,,,,,,,Armenia,2011,,,Integrated Living Conditions Survey 2011 ,,,,,By: National Statistical Service of the Republic of Armenia,"Created on: Apr 07, 2014 Last modified: Apr 07, 2014 Views: 273 Citations: 2 ","Armenia, 2011",,http://catalog.ihsn.org/index.php/catalog/4303,null,null
http://catalog.ihsn.org/index.php/catalog/4369,5527,ihsn,,,,,,,,Armenia,2012,,,Integrated Living Conditions Survey 2012 ,,,,,By: National Statistical Service of the Republic of Armenia,"Created on: Apr 07, 2014 Last modified: Apr 07, 2014 Views: 271 Citations: 2 ","Armenia, 2012",,http://catalog.ihsn.org/index.php/catalog/4369,null,null
http://catalog.ihsn.org/index.php/catalog/4419,5534,ihsn,,,,,,,,Armenia,2012,,,World Bank Country Survey 2013 ,,,,,By: Public Opinion Research Group - The World Bank Group,"Created on: Apr 07, 2014 Last modified: Apr 07, 2014 Views: 103","Armenia, 2012",,http://catalog.ihsn.org/index.php/catalog/4419,http://catalog.ihsn.org/index.php/catalog/4419/download/57135,http://catalog.ihsn.org/index.php/catalog/4419/download/57136
http://catalog.ihsn.org/index.php/catalog/4744,5519,ihsn,,,,,,,,Armenia, 2012-2013,,,Enterprise Survey 2013 ,,,,,By: World Bank,,"Armenia, 2012-2013",,http://catalog.ihsn.org/index.php/catalog/4744,http://catalog.ihsn.org/index.php/catalog/4744/download/59730,http://catalog.ihsn.org/index.php/catalog/4744/download/59736
http://catalog.ihsn.org/index.php/catalog/4779,3875,ihsn,,,,,,,,Armenia,2013,,,"STEP Skills Measurement Program 2013, Skills Toward Employment and Productivity (Wave 2) ",,,,,By: World Bank,"Created on: Sep 05, 2014 Last modified: Sep 05, 2014 Views: 67","Armenia, 2013",,http://catalog.ihsn.org/index.php/catalog/4779,http://catalog.ihsn.org/index.php/catalog/4779/download/66698,http://catalog.ihsn.org/index.php/catalog/4779/download/66699
http://catalog.ihsn.org/index.php/catalog/3837,5770,ihsn,,,,,,,,Australia, 2000-2001,,,Multi Country Study Survey 2000-2001 ,,,,,By: World Health Organization (WHO),"Created on: Dec 12, 2013 Last modified: Dec 12, 2013 Views: 208","Australia, 2000-2001",,http://catalog.ihsn.org/index.php/catalog/3837,http://catalog.ihsn.org/index.php/catalog/3837/download/53183,http://catalog.ihsn.org/index.php/catalog/3837/download/53181
http://catalog.ihsn.org/index.php/catalog/2770,5763,ihsn,,,,,,,,Australia,2011,,,Global Financial Inclusion (Global Findex) Database 2011 ,,,,,"By: Development Research Group, Finance and Private Sector Development Unit - World Bank","Created on: Mar 24, 2013 Last modified: Sep 14, 2013 Views: 803","Australia, 2011",,http://catalog.ihsn.org/index.php/catalog/2770,"/W3C//DTD XHTML 1.0 Transitional//EN"" ""http://www.w3.org/TR/x",null
http://catalog.ihsn.org/index.php/catalog/130,6106,ihsn,lfs,1,1,1,1,1,1,Bangladesh,2002,1,1,National Labour Force Survey 2002-2003 ,b,as,1,1,By: Bangladesh Bureau of Statistics (BBS),"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 13271 Citations: 1 ","Bangladesh, 2002",,http://catalog.ihsn.org/index.php/catalog/130,"http://catalog.ihsn.org/index.php/catalog/130/download/28957""",null
http://catalog.ihsn.org/index.php/catalog/3325,5938,ihsn,lfs,1,1,1,1,,,Bangladesh,2010,,,Labour Force Survey 2010 ,b,as,1,,By: Bangladesh Bureau of Statistics - Ministry of Planning,"Created on: Sep 14, 2013 Last modified: Sep 14, 2013 Views: 1359 Citations: 1 ","Bangladesh, 2010",,http://catalog.ihsn.org/index.php/catalog/3325,http://catalog.ihsn.org/index.php/catalog/3325/download/48500,http://catalog.ihsn.org/index.php/catalog/3325/download/48502
