links,Serial #,source,Type,all,annual,country/annual,1 series per country,unique countries,MOU,Country Name,Year,series (at least 3 samples since 1999),AF/AS,Title,frequency,Region,9,samples annual,by,created,Original,official language,links
http://catalog.ihsn.org/index.php/catalog/924,16732,ihsn,,,,,,,,Mali,2005,,,Enquête sur le Suivi des Dépenses dans le Secteur de l’Education jusqu’à Destination 2005 ,,,,,"By: Centre d’Etudes de Documentation, de Recherche et de Formation (CEDREF), Bamako","Created on: Oct 04, 2011 Last modified: Sep 14, 2013 Views: 113","Mali, 2005",,http://catalog.ihsn.org/index.php/catalog/924
http://catalog.ihsn.org/index.php/catalog/1033,16718,ihsn,,,,,,,,Mali,2006,,,PETS - QSDS in Health 2006 ,,,,,"By: World Bank, Ministry of Health","Created on: Oct 26, 2011 Last modified: Sep 14, 2013 Views: 28","Mali, 2006",,http://catalog.ihsn.org/index.php/catalog/1033
http://catalog.ihsn.org/index.php/catalog/676,16704,ihsn,,,,,,,,Mali,2007,,,Enterprise Survey 2007 ,,,,,By: World Bank,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 26","Mali, 2007",,http://catalog.ihsn.org/index.php/catalog/676
http://catalog.ihsn.org/index.php/catalog/677,16690,ihsn,,,,,,,,Mali,2010,,,Enterprise Survey 2010 ,,,,,By: World Bank,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 53","Mali, 2010",,http://catalog.ihsn.org/index.php/catalog/677
http://catalog.ihsn.org/index.php/catalog/678,16697,ihsn,,,,,,,,Mali,2010,,,Informal Survey 2010 ,,,,,By: World Bank,"Created on: Sep 29, 2011 Last modified: Sep 14, 2013 Views: 50","Mali, 2010",,http://catalog.ihsn.org/index.php/catalog/678
http://catalog.ihsn.org/index.php/catalog/2705,16683,ihsn,,,,,,,,Mali,2011,,,Global Financial Inclusion (Global Findex) Database 2011 ,,,,,"By: Development Research Group, Finance and Private Sector Development Unit - World Bank","Created on: Dec 20, 2012 Last modified: Sep 14, 2013 Views: 262","Mali, 2011",,http://catalog.ihsn.org/index.php/catalog/2705
http://catalog.ihsn.org/index.php/catalog/4536,17398,ihsn,emp,1,,,,,,Mexico,2000,,,"Encuesta Nacional de Empleo 2000, II Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 31","Mexico, 2000",,http://catalog.ihsn.org/index.php/catalog/4536
http://catalog.ihsn.org/index.php/catalog/4537,17405,ihsn,emp,1,,,,,,Mexico,2000,,,"Encuesta Nacional de Empleo 2000, III Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 8","Mexico, 2000",,http://catalog.ihsn.org/index.php/catalog/4537
http://catalog.ihsn.org/index.php/catalog/4538,17412,ihsn,emp,1,,,,,,Mexico,2000,,,"Encuesta Nacional de Empleo 2000, IV Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 40","Mexico, 2000",,http://catalog.ihsn.org/index.php/catalog/4538
http://catalog.ihsn.org/index.php/catalog/4539,17356,ihsn,emp,1,1,1,,1,1,Mexico,2001,1,,"Encuesta Nacional de Empleo 2001, I Trimestre ",q,nac,1,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 27","Mexico, 2001",,http://catalog.ihsn.org/index.php/catalog/4539
http://catalog.ihsn.org/index.php/catalog/4540,17363,ihsn,emp,1,,,,,,Mexico,2001,,,"Encuesta Nacional de Empleo 2001, II Trimestre ",q,nac,,,By: Instituto Nacional de Estadística y Geografía (INEGI) - Gobierno de México,"Created on: May 19, 2014 Last modified: May 19, 2014 Views: 50","Mexico, 2001",,http://catalog.ihsn.org/index.php/catalog/4540
